concept,degree,pagerank,betweenness,descendants,depth
STEMI,0.013624,0.006052,0.0,0,0
Coronary Circulation,0.008174,0.001579,0.0,3,1
Left Anterior Descending Artery,0.002725,0.001579,0.0,1,1
Right Coronary Artery,0.002725,0.001579,0.0,1,1
Cardiac Action Potential,0.00545,0.001579,0.0,2,1
Coagulative Necrosis,0.00545,0.001579,0.0,2,1
NSTEMI,0.008174,0.004039,0.0,0,0
Stable Angina,0.002725,0.001579,0.0,1,1
Frank-Starling Law,0.00545,0.001579,0.0,2,1
Acute Coronary Syndrome,0.010899,0.003927,0.0,0,0
Virchow Triad,0.016349,0.001579,0.0,6,1
Thrombus Formation,0.002725,0.001579,0.0,1,1
Myocardial Infarction,0.010899,0.001579,0.0,4,1
Ventricular Free Wall Rupture,0.008174,0.003927,0.0,0,0
Cardiac Layers,0.002725,0.001579,0.0,1,1
Pericardium,0.00545,0.001579,0.0,2,1
Papillary Muscle Rupture,0.00545,0.003257,0.0,0,0
Mitral Regurgitation,0.002725,0.001579,0.0,1,1
Dressler Syndrome,0.008174,0.002809,0.0,0,0
Type III Hypersensitivity,0.016349,0.001579,0.0,7,2
Pericarditis,0.00545,0.001579,0.0,2,1
Cardiac Tamponade,0.010899,0.005605,0.0,0,0
Beck Triad,0.002725,0.001579,0.0,1,1
Pulsus Paradoxus,0.002725,0.001579,0.0,1,1
Cor Pulmonale,0.008174,0.004733,0.0,0,0
Pulmonary Hypertension (Primary),0.013624,0.004263,3e-05,2,1
Right Heart Failure,0.00545,0.001579,0.0,3,2
Pulmonary Vascular Resistance,0.00545,0.001579,0.0,3,2
Systolic Heart Failure,0.010899,0.004934,0.0,0,0
Cardiac Output,0.00545,0.001579,0.0,2,1
Afterload,0.002725,0.001579,0.0,1,1
Preload,0.00545,0.001579,0.0,2,1
Diastolic Heart Failure,0.008174,0.004263,0.0,0,0
Hypertrophic Cardiomyopathy,0.002725,0.001579,0.0,1,1
Eisenmenger Syndrome,0.010899,0.007417,0.0,0,0
Ventricular Septal Defect,0.002725,0.001579,0.0,1,1
Atrial Septal Defect,0.002725,0.001579,0.0,1,1
Patent Ductus Arteriosus,0.002725,0.001579,0.0,1,1
Aortic Dissection,0.010899,0.005873,0.0,0,0
Aorta,0.002725,0.001579,0.0,1,1
Primary Hypertension,0.013624,0.001579,0.0,5,1
Marfan Syndrome,0.002725,0.001579,0.0,1,1
Fibrillin,0.002725,0.001579,0.0,1,1
Infective Endocarditis,0.010899,0.005828,0.0,0,0
Staphylococcus aureus,0.002725,0.001579,0.0,1,1
Viridans Streptococci,0.002725,0.001579,0.0,1,1
Duke Criteria,0.002725,0.001579,0.0,1,1
Rheumatic Heart Disease,0.010899,0.004487,0.0,0,0
Streptococcus pyogenes (Group A),0.00545,0.001579,0.0,2,1
Type II Hypersensitivity,0.016349,0.001579,0.0,7,2
Molecular Mimicry,0.00545,0.001579,0.0,2,1
Jones Criteria,0.002725,0.001579,0.0,1,1
Torsades de Pointes,0.008174,0.005605,0.0,0,0
Long QT Syndrome,0.002725,0.001579,0.0,1,1
Ventricular Tachycardia,0.002725,0.001579,0.0,1,1
Class IA Antiarrhythmics,0.002725,0.001579,0.0,1,1
WPW Syndrome,0.008174,0.004263,0.0,0,0
AV Node,0.002725,0.001579,0.0,1,1
Atrial Fibrillation,0.00545,0.001579,0.0,2,1
